feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
241.23566285942962,-124.60903684288185,2.3640198537199555,6695826.0,1.596,4.8025113912307e+24,28.497,102.533,1880.0,111.703,95.902,101.342,106.79,42.924,0.133
241.20719019574975,-124.63980898240041,2.2141442588821305,6695826.0,1.948,7.8518520648237e+24,29.741,123.314,1557.0,119.74,101.303,108.257,110.343,81.728,0.141
241.1102103088552,-124.74087763099703,1.8855749442526497,7673000.0,1.563,5.0242732428213e+24,40.236,115.115,-3032.0,149.566,151.045,154.655,101.012,-13.192,0.107
241.05970041895836,-124.79176114176306,1.5457843654286443,8974296.0,1.19,2.5297640460602e+25,46.078,63.022,1882.0,108.586,92.513,97.039,99.145,-1.908,0.11
241.076917354358,-124.76838522299997,1.2492674561606212,8974296.0,0.745,4.8971217922698e+25,46.657,73.62,1738.0,113.091,95.72,102.484,98.471,-1.425,0.0854
241.1617411381663,-124.6707814901654,1.0050527777465639,8974296.0,1.204,2.4027300542222e+25,47.236,85.425,-136.03,113.945,99.495,106.938,96.892,12.783,0.112
241.3085511633967,-124.5070791716785,0.793009310683395,8974296.0,1.441,3.3278830331149e+24,47.712,72.2,168.449,117.284,106.029,112.259,103.757,9.431,0.12
241.40286231630463,-124.39833550441432,0.45380017148937235,8974296.0,0.739,1.1797304716947e+25,51.17,72.582,-766.04,126.285,127.451,128.907,106.332,-28.096,0.0975
241.36624191984416,-124.42743264903781,-0.11433250973676061,10076293.0,1.074,3.8041679337411e+24,53.126,88.1,-1433.0,128.912,130.39,129.035,104.944,-5.296,0.0924
241.20640437584157,-124.58443926113785,-0.8672432015353072,10076293.0,1.548,1.2629841404622e+25,53.737,71.153,-1911.0,119.489,126.292,124.2,90.831,-8.768,0.106
241.10460394083356,-124.6790996565581,-1.5304807242255412,10076293.0,0.882,4.3881544738602e+24,55.081,59.378,909.863,108.861,117.419,112.701,93.348,-21.644,0.0827
241.04210418509365,-124.7265379034293,-2.0692290141014182,10076293.0,1.264,3.2144845420687e+25,55.453,64.307,411.17,111.83,114.911,111.597,92.891,23.585,0.113
241.00261501530582,-124.7413301324128,-2.4667177077685083,10076293.0,1.341,4.064479744921e+24,57.664,46.253,570.742,111.168,111.128,110.78,89.241,-16.376,0.0948
240.99102596787023,-124.71674558388494,-2.6923526131650757,10301131.0,1.332,1.0321116683956e+25,58.016,52.908,-242.9,111.793,110.882,110.932,88.032,-9.679,0.0969
241.0138480933128,-124.64482452287457,-2.7263231806897252,11187257.0,1.331,1.0656594449415e+25,58.5,66.581,-590.826,112.117,110.773,111.272,88.134,2.892,0.108
241.06530199661196,-124.53067592777897,-2.5770201896738554,11187257.0,1.054,5.2185579140966e+24,61.101,80.035,618.283,111.071,109.642,109.574,86.27,-13.216,0.0857
241.14098240461468,-124.37839830139653,-2.264121924954051,11187257.0,1.198,1.2718250227018e+25,61.499,57.043,-47.709,112.473,109.809,110.39,86.38,-17.701,0.112
241.24859688882347,-124.1799672673941,-1.8042252122937692,11187257.0,1.333,2.3961984909315e+25,62.131,75.782,-537.875,113.037,109.946,111.238,85.506,-3.342,0.101
241.39444574564118,-123.92944429366703,-1.2281253870358215,11187257.0,1.22,3.0902672934757e+25,62.912,88.835,425.314,114.191,110.895,112.571,86.339,16.267,0.0997
241.56086144035814,-123.64626540036032,-0.6064104394643491,11187257.0,1.267,2.1883790033983e+25,63.727,92.055,276.732,115.636,112.625,114.019,87.406,0.568,0.112
241.73997432185763,-123.34064692579277,-0.006190313972208809,11187257.0,1.285,2.8547688001112e+25,64.525,90.044,1090.0,117.456,114.296,115.536,89.441,11.276,0.112
241.9043839865074,-123.04358028435537,0.4794862904615756,11187257.0,1.134,8.2532422811299e+24,65.427,99.751,-42.701,121.315,116.312,118.114,95.595,9.393,0.109
241.97472410969263,-122.83904165271063,0.7071631390281247,12153412.0,1.372,1.2085282285414e+25,68.289,90.398,-381.564,127.106,124.363,126.169,95.876,2.458,0.121
241.9313798094565,-122.74782113413734,0.6332207836307451,12153412.0,0.976,4.9912339959405e+25,72.267,78.22,-665.975,125.441,126.46,126.092,90.782,15.445,0.122
